,GPS_time,SatPRN,Pseudo_range,CN0,SatX,SatY,SatZ
1088,1.3970624514260424e+18,27,574.4575805664062,41.7,23090147.32807455,13304646.428646127,-3077379.4016809016
1089,1.3970624514260424e+18,28,-466.9045715332031,39.3,5165047.102322031,25834272.766845565,-3399957.5961811715
1090,1.3970624514260424e+18,32,287.92010498046875,45.2,7768010.948366652,17832838.83262575,18385326.84312267
1115,1.3970624514260424e+18,03,-476.5166320800781,34.9,23134115.437697165,-12046810.549552692,4503034.566748276
1116,1.3970624514260424e+18,08,210.6328125,39.0,25040504.909528315,4796807.020043576,8079594.111434654
1117,1.3970624514260424e+18,27,574.36962890625,28.0,23090147.32807455,13304646.428646127,-3077379.4016809016
1134,1.3970624524260424e+18,02,-476.6856384277344,34.0,14642374.3025197,-4826025.79603461,22094044.281421293
1135,1.3970624524260424e+18,03,-476.3069152832031,48.0,23133746.968543686,-12046299.863937406,4506200.477115487
1136,1.3970624524260424e+18,08,211.70616149902344,43.2,25041345.086038537,4797453.010431419,8076687.4263950065
1137,1.3970624524260424e+18,10,393.4226379394531,34.1,-1664974.7728759423,17355681.108974405,20143798.775124278
1138,1.3970624524260424e+18,21,-315.2309875488281,31.9,15766676.585576387,1945987.709560487,21846725.91229256
1139,1.3970624524260424e+18,27,574.5604858398438,45.9,23089729.2248308,13304708.875545513,-3080499.386569507
1140,1.3970624524260424e+18,28,-466.5601196289063,38.9,5164818.862728585,25834729.557916876,-3396819.404655356
1141,1.3970624524260424e+18,32,288.68243408203125,41.6,7765885.495147011,17831990.436994627,18387047.73219449
1163,1.3970624524260424e+18,03,-476.2695007324219,38.9,23133746.968543686,-12046299.863937406,4506200.477115487
